Run;Problem;Heuristic;Instance;Index;Fitness
0;SAT;GLS;0;0;396.0
0;SAT;GLS;0;1;196.0
0;SAT;GLS;0;2;196.0
0;SAT;GLS;0;3;196.0
0;SAT;GLS;0;4;196.0
0;SAT;GLS;0;5;191.0
0;SAT;GLS;0;6;191.0
0;SAT;GLS;0;7;191.0
0;SAT;GLS;0;8;191.0
0;SAT;GLS;0;9;191.0
0;SAT;GLS;0;10;191.0
0;SAT;GLS;0;11;191.0
0;SAT;GLS;0;12;191.0
0;SAT;GLS;0;13;191.0
0;SAT;GLS;0;14;191.0
0;SAT;GLS;0;15;191.0
0;SAT;GLS;0;16;191.0
0;SAT;GLS;0;17;191.0
0;SAT;GLS;0;18;191.0
0;SAT;GLS;0;19;191.0
0;SAT;GLS;0;20;191.0
0;SAT;GLS;0;21;189.0
0;SAT;GLS;0;22;189.0
0;SAT;GLS;0;23;189.0
0;SAT;GLS;0;24;189.0
0;SAT;GLS;0;25;189.0
0;SAT;GLS;0;26;189.0
0;SAT;GLS;0;27;189.0
0;SAT;GLS;0;28;189.0
0;SAT;GLS;0;29;189.0
0;SAT;GLS;0;30;189.0
0;SAT;GLS;0;31;189.0
0;SAT;GLS;0;32;189.0
0;SAT;GLS;0;33;189.0
0;SAT;GLS;0;34;189.0
0;SAT;GLS;0;35;189.0
0;SAT;GLS;0;36;189.0
0;SAT;GLS;0;37;189.0
0;SAT;GLS;0;38;189.0
0;SAT;GLS;0;39;189.0
0;SAT;GLS;0;40;189.0
0;SAT;GLS;0;41;189.0
0;SAT;GLS;0;42;189.0
0;SAT;GLS;0;43;189.0
0;SAT;GLS;0;44;189.0
0;SAT;GLS;0;45;189.0
0;SAT;GLS;0;46;189.0
0;SAT;GLS;0;47;189.0
0;SAT;GLS;0;48;189.0
0;SAT;GLS;0;49;189.0
0;SAT;GLS;0;50;189.0
0;SAT;GLS;0;51;189.0
0;SAT;GLS;0;52;189.0
0;SAT;GLS;0;53;189.0
0;SAT;GLS;0;54;189.0
0;SAT;GLS;0;55;189.0
0;SAT;GLS;0;56;189.0
0;SAT;GLS;0;57;189.0
0;SAT;GLS;0;58;189.0
0;SAT;GLS;0;59;189.0
0;SAT;GLS;0;60;189.0
0;SAT;GLS;0;61;189.0
0;SAT;GLS;0;62;189.0
0;SAT;GLS;0;63;189.0
0;SAT;GLS;0;64;189.0
0;SAT;GLS;0;65;189.0
0;SAT;GLS;0;66;189.0
0;SAT;GLS;0;67;189.0
0;SAT;GLS;0;68;189.0
0;SAT;GLS;0;69;189.0
0;SAT;GLS;0;70;189.0
0;SAT;GLS;0;71;189.0
0;SAT;GLS;0;72;189.0
0;SAT;GLS;0;73;189.0
0;SAT;GLS;0;74;189.0
0;SAT;GLS;0;75;189.0
0;SAT;GLS;0;76;189.0
0;SAT;GLS;0;77;189.0
0;SAT;GLS;0;78;189.0
0;SAT;GLS;0;79;189.0
0;SAT;GLS;0;80;189.0
0;SAT;GLS;0;81;189.0
0;SAT;GLS;0;82;189.0
0;SAT;GLS;0;83;189.0
0;SAT;GLS;0;84;189.0
0;SAT;GLS;0;85;189.0
0;SAT;GLS;0;86;189.0
0;SAT;GLS;0;87;189.0
0;SAT;GLS;0;88;189.0
0;SAT;GLS;0;89;189.0
0;SAT;GLS;0;90;189.0
0;SAT;GLS;0;91;189.0
0;SAT;GLS;0;92;189.0
0;SAT;GLS;0;93;189.0
0;SAT;GLS;0;94;189.0
0;SAT;GLS;0;95;189.0
0;SAT;GLS;0;96;189.0
0;SAT;GLS;0;97;189.0
0;SAT;GLS;0;98;189.0
0;SAT;GLS;0;99;189.0
0;SAT;GLS;0;100;189.0
0;SAT;ILS;0;0;396.0
0;SAT;ILS;0;1;12.0
0;SAT;ILS;0;2;6.0
0;SAT;ILS;0;3;4.0
0;SAT;ILS;0;4;2.0
0;SAT;ILS;0;5;2.0
0;SAT;ILS;0;6;2.0
0;SAT;ILS;0;7;2.0
0;SAT;ILS;0;8;2.0
0;SAT;ILS;0;9;2.0
0;SAT;ILS;0;10;2.0
0;SAT;ILS;0;11;2.0
0;SAT;ILS;0;12;2.0
0;SAT;ILS;0;13;2.0
0;SAT;ILS;0;14;2.0
0;SAT;ILS;0;15;2.0
0;SAT;ILS;0;16;2.0
0;SAT;ILS;0;17;2.0
0;SAT;ILS;0;18;2.0
0;SAT;ILS;0;19;2.0
0;SAT;ILS;0;20;2.0
0;SAT;ILS;0;21;2.0
0;SAT;ILS;0;22;2.0
0;SAT;ILS;0;23;2.0
0;SAT;ILS;0;24;2.0
0;SAT;ILS;0;25;2.0
0;SAT;ILS;0;26;2.0
0;SAT;ILS;0;27;2.0
0;SAT;ILS;0;28;2.0
0;SAT;ILS;0;29;2.0
0;SAT;ILS;0;30;2.0
0;SAT;ILS;0;31;2.0
0;SAT;ILS;0;32;2.0
0;SAT;ILS;0;33;2.0
0;SAT;ILS;0;34;2.0
0;SAT;ILS;0;35;2.0
0;SAT;ILS;0;36;2.0
0;SAT;ILS;0;37;2.0
0;SAT;ILS;0;38;2.0
0;SAT;ILS;0;39;2.0
0;SAT;ILS;0;40;2.0
0;SAT;ILS;0;41;2.0
0;SAT;ILS;0;42;2.0
0;SAT;ILS;0;43;2.0
0;SAT;ILS;0;44;2.0
0;SAT;ILS;0;45;2.0
0;SAT;ILS;0;46;2.0
0;SAT;ILS;0;47;2.0
